,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
86,Duisburg,4 665    ,"4,5",2 071    ,"4,7",2 594    ,"4,3","23,3",2017,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
87,Krefeld,3 622    ,"3,5",1 480    ,"3,3",2 142    ,"3,6","20,2",2017,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
88,Wuppertal,3 238    ,"3,1",1 429    ,"3,2",1 809    ,3,"25,1",2017,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
89,Mönchengladbach,2 830    ,"2,7",1 366    ,"3,1",1 464    ,"2,4","28,9",2017,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
90,Leverkusen,1 859    ,"1,8",763,"1,7",1 096    ,"1,8","24,9",2017,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
91,Mülheim an der Ruhr,1 832    ,"1,8",746,"1,7",1 086    ,"1,8","20,4",2017,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
92,Solingen,1 724    ,"1,6",730,"1,6",994,"1,6","19,6",2017,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
93,Bonn,1 210    ,"1,2",511,"1,2",699,"1,2","62,6",2017,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
94,Dortmund,998,1,360,"0,8",638,"1,1","55,8",2017,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
95,Oberhausen,936,"0,9",424,1,512,"0,8",31,2017,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
96,Ratingen,6 824    ,"6,5",2 980    ,"6,7",3 844    ,"6,4","9,9",2017,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
97,Hilden,4 058    ,"3,9",1 731    ,"3,9",2 327    ,"3,9","11,5",2017,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
98,Langenfeld (Rheinland),3 573    ,"3,4",1 479    ,"3,3",2 094    ,"3,5","17,2",2017,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
99,Erkrath,2 751    ,"2,6",1 259    ,"2,8",1 492    ,"2,5","8,4",2017,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
100,Monheim am Rhein,1 861    ,"1,8",897,2,964,"1,6","16,5",2017,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
101,Neuss,8 684    ,"8,3",3 716    ,"8,4",4 968    ,"8,2","10,3",2017,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
102,Meerbusch,2 030    ,"1,9",1 030    ,"2,3",1 000    ,"1,7","11,1",2017,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
